"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@marissamayer @zackbogue look forward to seeing the extended family. Congrats!!",FALSE,66,"marissamayer",2015-09-02 01:17:48,FALSE,"638571731465015296","638883491170533377","17503180","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",16,FALSE,FALSE,NA,NA
"Excited to partner with Amazon, Cisco, Intel, Microsoft, Mozilla and Netflix on the Alliance for Open Media,  http://t.co/O3HWfradZj",FALSE,505,NA,2015-09-01 16:39:16,FALSE,NA,"638752996076052480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",357,FALSE,FALSE,NA,NA
"Nice indepth look https://t.co/ifFAf8FJMf",FALSE,304,NA,2015-09-01 16:34:46,FALSE,NA,"638751864935178240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",238,FALSE,FALSE,NA,NA
"RT @kraneland: Congrats to @tfadell, @nestmatt, and the @nest team on today’s new product release!  http://t.co/tWAqfMFDxr",FALSE,0,NA,2015-09-01 16:33:54,FALSE,NA,"638751646416146433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",21,TRUE,FALSE,NA,NA
"We’ve got a new look that reflects all the ways you use Google, across platforms, apps &amp; devices. Hope you enjoy! http://t.co/O5nI2urrEA",FALSE,397,NA,2015-09-01 16:20:02,FALSE,NA,"638748158328090626",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",286,FALSE,FALSE,NA,NA
"RT @TheEconomist: What's the universe made of? Well, to a 95% approximation, we don't know http://t.co/GRlzPe9Ppg http://t.co/RtPCy4qJVm",FALSE,0,NA,2015-08-30 23:43:21,FALSE,NA,"638134943252525057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",235,TRUE,FALSE,NA,NA
"RT @kfury: Excellent. https://t.co/nSBwijxOmC",FALSE,0,NA,2015-08-30 22:29:07,FALSE,NA,"638116263940616192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",16,TRUE,FALSE,NA,NA
"RIP Oliver Sacks, read this essay a while ago and look forward to reading more of your works http://t.co/0fJHnTVFAU",FALSE,155,NA,2015-08-30 18:00:59,FALSE,NA,"638048783964639232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",65,FALSE,FALSE,NA,NA
"""I have been a sentient being, a thinking animal, on this beautiful planet, and that in itself has been an enormous privilege and adventure""",FALSE,435,NA,2015-08-30 17:59:49,FALSE,NA,"638048489889333249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",236,FALSE,FALSE,NA,NA
"RT @Recode: Google’s Singhal, Twitter’s Weil and Benedict Evans Join Lineup for Code/Mobile
http://t.co/aB6aTnJmCO http://t.co/lhSdaf9iMP",FALSE,0,NA,2015-08-14 04:18:47,FALSE,NA,"632043666022895616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",77,TRUE,FALSE,NA,NA
"RT @evaaueva: Google and Whatsapp are becoming more fashionable these days http://t.co/Kywfhn5Oq4",FALSE,0,NA,2015-08-14 03:36:00,FALSE,NA,"632032899403935748",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",662,TRUE,FALSE,NA,NA
"RT @BillGates: I drank water made from human feces. Here’s an update on the machine that produced that water: http://t.co/Bd05wl9CAM http:/…",FALSE,0,NA,2015-08-13 01:17:52,FALSE,NA,"631635749700431873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",6343,TRUE,FALSE,NA,NA
"Its been overwhelming to see such generous and warm responses from many dear friends, colleagues and strangers - heartfelt thanks.",FALSE,2350,NA,2015-08-12 19:53:00,FALSE,NA,"631553992246493184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",862,FALSE,FALSE,NA,NA
"RT @mgsiegler: Stoked to be doubling down on ""stoked"" https://t.co/PMDBWZ0Q4G",FALSE,0,NA,2015-08-12 02:10:09,FALSE,NA,"631286519630684161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",23,TRUE,FALSE,NA,NA
"RT @GoogleVentures: “Why am I stoked?” by @billmaris — https://t.co/KaVGctOdwA",FALSE,0,NA,2015-08-12 02:10:06,FALSE,NA,"631286508201250816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",48,TRUE,FALSE,NA,NA
"@narendramodi @google Thanks for the warm wishes and hope to have the opportunity to meet you soon",FALSE,2297,"narendramodi",2015-08-11 20:47:55,FALSE,"630993253685334016","631205428274171904","18839785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",1582,FALSE,FALSE,NA,NA
"@satyanadella thanks for the wishes:)",FALSE,1189,"satyanadella",2015-08-11 03:46:50,FALSE,"630867202439143424","630948462645805057","20571756","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",449,FALSE,FALSE,NA,NA
"@jeffweiner Thanks!",FALSE,184,"jeffweiner",2015-08-11 03:46:18,FALSE,"630866944208474112","630948328398675968","20348377","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",22,FALSE,FALSE,NA,NA
"@tim_cook thanks Tim, appreciate it!",FALSE,855,"tim_cook",2015-08-11 03:43:16,FALSE,"630914569385283584","630947565479956480","1636590253","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",307,FALSE,FALSE,NA,NA
"@btaylor thanks Bret!",FALSE,146,"btaylor",2015-08-10 21:05:12,FALSE,"630846032738304000","630847389931171840","7456262","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",15,FALSE,FALSE,NA,NA
